id,name,birth,death,region,genre,photo,biography
1,Vincas Mykolaitis-Putinas,1893-01-06,1967-06-07,Marijampolės apskritis,Romanas; poezija,putinas.jpg,Vincas Mykolaitis-Putinas buvo vienas žymiausių XX a. Lietuvos rašytojų...
2,Jonas Mačiulis-Maironis,1862-10-21,1932-06-28,Raseinių apskritis,lyrinės poemos,maironis.jpg,Lietuvių tautinio atgimimo poetas ir kunigas.
3,Mikalojus Konstantinas Čiurlionis,1875-09-22,1911-04-10,Varėna,Simbolizmas; klasikinė muzika,ciurlionis.jpg,Kompozitorius ir dailininkas simbolizmo pradininkas Lietuvoje.
4,Kristijonas Donelaitis,1714-01-01,1780-02-18,Tauragės apskritis,Poema,donelaitis.jpg,"Lietuvių grožinės literatūros pradininkas, poemos „Metai“ autorius."
5,Žemaitė,1845-06-04,1921-12-07,Šiaulių apskritis,Proza,zemaites.jpg,"Lietuvių rašytoja, realistinės prozos atstovė."
6,Jonas Biliūnas,1879-04-11,1907-12-08,Anykščių kraštas,Proza,biliunas.jpg,"Lietuvių prozininkas, lyrinės novelės pradininkas."
