id,vardas,gimimo_data,aprasymas
1,Vincas Mykolaitis-Putinas,1893-01-06,Lietuvių rašytojas, poetas ir literatūros klasikas.
2,Maironis,1862-10-21,Lietuvių tautinio atgimimo poetas ir kunigas.
3,Mikalojus Konstantinas Čiurlionis,1875-09-22,Kompozitorius ir dailininkas, simbolizmo pradininkas Lietuvoje.
